model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage
Tata Safari,White,CNG,Automatic,843918.96,2024-01-31,2024-03-09,Uttar Pradesh,15.8
Tata Punch,Grey,Petrol,Automatic,1969429.07,2023-11-01,2023-12-14,Uttar Pradesh,11.4
Tata Tigor,Silver,Diesel,Automatic,1912293.99,2023-12-09,2024-01-01,West Bengal,22.2
Tata Tigor,Silver,Electric,Automatic,1380636.12,2023-11-09,2024-02-02,Tamil Nadu,21.9
Tata Nexon,Silver,CNG,Manual,2428968.71,2023-12-31,2024-03-25,Gujarat,20.4
Tata Tigor,Grey,Electric,Automatic,765074.14,2024-03-08,2024-04-13,Karnataka,11.1
Tata Tigor,Grey,Petrol,Manual,1377128.91,2024-03-06,2024-06-03,Uttar Pradesh,22.1
Tata Harrier,Blue,Electric,Automatic,2005117.73,2024-09-08,2024-11-25,Uttar Pradesh,17.6
Tata Punch,Silver,Electric,Manual,2225354.24,2024-09-05,2024-09-08,Karnataka,10.0
Tata Punch,White,CNG,Automatic,2302696.05,2023-12-28,2024-03-24,Tamil Nadu,21.3
Tata Tigor,Silver,Diesel,Automatic,1441568.46,2023-10-25,2023-12-17,Tamil Nadu,15.8
Tata Nexon,White,Diesel,Manual,734652.26,2024-08-15,2024-11-03,Tamil Nadu,20.9
Tata Harrier,White,CNG,Automatic,1305271.57,2023-12-27,2024-03-13,Uttar Pradesh,11.6
Tata Altroz,White,CNG,Automatic,2359605.26,2024-03-17,2024-06-14,Maharashtra,17.7
Tata Altroz,Red,CNG,Manual,1162662.97,2023-12-13,2024-02-26,Karnataka,12.4
Tata Safari,Black,Petrol,Automatic,1925775.14,2024-08-05,2024-09-02,Karnataka,15.4
Tata Safari,Red,Electric,Manual,1137111.41,2023-10-15,2023-11-26,West Bengal,13.8
Tata Tiago,Blue,CNG,Manual,1539240.04,2024-02-12,2024-04-08,Delhi,11.1
Tata Altroz,Grey,Diesel,Automatic,1960586.03,2024-07-10,2024-09-10,Maharashtra,16.7
Tata Tiago,Silver,CNG,Manual,878474.09,2024-03-10,2024-05-18,Uttar Pradesh,20.3
Tata Punch,Grey,CNG,Manual,1224003.32,2023-11-26,2024-02-13,Maharashtra,23.4
Tata Nexon,Blue,CNG,Automatic,695241.58,2023-11-06,2023-11-21,Uttar Pradesh,14.1
Tata Safari,Black,Diesel,Manual,1908361.28,2024-02-23,2024-05-06,Karnataka,10.9
Tata Safari,Silver,CNG,Manual,682644.48,2024-08-10,2024-09-26,Delhi,15.9
Tata Altroz,Blue,Electric,Automatic,1882896.41,2024-04-26,2024-06-22,Karnataka,24.7
Tata Altroz,Orange,Electric,Manual,1970943.08,2023-10-12,2023-12-11,Karnataka,10.8
Tata Altroz,White,CNG,Automatic,1938816.3,2024-02-12,2024-04-06,Gujarat,10.7
Tata Harrier,Orange,Electric,Automatic,1201281.77,2024-05-01,2024-05-16,Karnataka,15.1
Tata Tiago,Grey,Petrol,Manual,1975657.33,2024-05-10,2024-07-02,Gujarat,15.9
Tata Nexon,Orange,Electric,Automatic,1634760.36,2024-09-07,2024-11-22,West Bengal,19.3
Tata Harrier,Orange,CNG,Automatic,531996.67,2023-11-22,2023-12-10,Gujarat,20.4
Tata Tiago,Black,Diesel,Manual,517770.62,2024-01-23,2024-02-12,Karnataka,12.2
Tata Tigor,Silver,Petrol,Automatic,2307717.15,2024-06-03,2024-06-26,Delhi,16.7
Tata Tigor,Black,CNG,Automatic,699008.83,2024-02-15,2024-02-22,Uttar Pradesh,14.8
Tata Nexon,Grey,Petrol,Automatic,2079552.49,2024-05-24,2024-05-25,Uttar Pradesh,10.3
Tata Nexon,White,Electric,Manual,1226038.88,2024-03-18,2024-03-20,Tamil Nadu,11.1
Tata Tigor,Black,Diesel,Automatic,841868.85,2023-11-11,2023-12-09,Tamil Nadu,14.7
Tata Nexon,Blue,Electric,Automatic,1140524.51,2024-08-15,2024-10-04,West Bengal,23.2
Tata Punch,Silver,Petrol,Automatic,2033171.24,2023-10-05,2023-11-11,Delhi,14.4
Tata Harrier,Black,Petrol,Automatic,922924.57,2024-08-04,2024-08-27,Karnataka,20.2
Tata Altroz,Red,Petrol,Manual,2161641.27,2023-10-17,2024-01-06,Karnataka,17.7
Tata Tiago,Grey,Diesel,Automatic,1490690.23,2024-05-21,2024-06-04,Delhi,24.2
Tata Tiago,Black,Electric,Automatic,2415006.34,2024-08-20,2024-09-15,Gujarat,12.1
Tata Punch,Black,Petrol,Manual,1891108.83,2024-03-26,2024-05-09,West Bengal,16.4
Tata Tiago,Black,CNG,Automatic,539771.62,2023-10-31,2023-11-12,West Bengal,21.9
Tata Altroz,Black,Petrol,Automatic,2428516.0,2024-05-20,2024-06-02,Gujarat,12.8
Tata Safari,Red,Diesel,Automatic,2380360.36,2024-03-31,2024-05-12,Karnataka,16.4
Tata Nexon,Blue,CNG,Manual,2074867.98,2024-02-24,2024-03-30,Gujarat,22.5
Tata Tiago,Red,CNG,Manual,812258.18,2023-10-24,2023-11-14,Gujarat,13.3
Tata Tiago,Orange,Diesel,Manual,1891904.09,2024-08-07,2024-10-04,Gujarat,24.1
Tata Tigor,Silver,CNG,Automatic,1630419.18,2024-02-22,2024-04-18,Tamil Nadu,23.4
Tata Harrier,Orange,CNG,Automatic,1647445.36,2023-10-08,2023-11-22,West Bengal,20.5
Tata Punch,Black,CNG,Automatic,708623.15,2023-10-29,2024-01-24,West Bengal,16.0
Tata Altroz,Red,CNG,Manual,2268673.79,2024-06-12,2024-07-22,Uttar Pradesh,18.2
Tata Tigor,Blue,CNG,Manual,2488312.01,2024-09-16,2024-11-22,Karnataka,16.3
Tata Safari,Grey,Electric,Manual,2210899.51,2024-03-06,2024-05-13,West Bengal,21.8
Tata Punch,Blue,Diesel,Manual,1260324.24,2024-09-01,2024-11-14,Gujarat,16.8
Tata Tigor,White,Diesel,Automatic,922245.03,2023-11-22,2023-12-07,Uttar Pradesh,21.4
Tata Altroz,Orange,Diesel,Automatic,606495.83,2024-07-04,2024-09-11,Delhi,21.6
Tata Harrier,Silver,Petrol,Automatic,1186785.89,2024-01-13,2024-02-25,Karnataka,12.1
Tata Altroz,Blue,Electric,Automatic,888757.67,2024-07-14,2024-09-17,Maharashtra,10.4
Tata Tiago,Orange,Petrol,Manual,1725987.3,2024-06-22,2024-07-16,Maharashtra,21.0
Tata Tigor,Grey,Electric,Manual,1459806.65,2023-11-03,2023-11-19,Gujarat,10.2
Tata Punch,White,Petrol,Automatic,558456.59,2024-06-17,2024-09-11,Karnataka,15.1
Tata Altroz,Blue,Petrol,Manual,1234874.79,2024-07-24,2024-10-08,Tamil Nadu,16.4
Tata Tiago,Grey,Diesel,Manual,1327218.61,2024-09-01,2024-10-06,Tamil Nadu,24.1
Tata Safari,Grey,CNG,Automatic,601275.42,2024-02-07,2024-04-16,Karnataka,19.1
Tata Altroz,Black,Diesel,Manual,1330400.04,2023-10-17,2023-12-30,Tamil Nadu,22.6
Tata Punch,Red,CNG,Automatic,1852490.83,2023-12-22,2024-01-30,Delhi,13.0
Tata Altroz,Black,Diesel,Automatic,718070.48,2023-12-13,2024-01-03,Gujarat,21.3
Tata Punch,Black,CNG,Automatic,2349026.86,2023-11-29,2024-02-22,Delhi,17.5
Tata Tiago,Silver,Diesel,Automatic,938744.35,2023-11-19,2023-11-26,Karnataka,20.3
Tata Punch,White,CNG,Automatic,1038335.48,2024-08-31,2024-11-02,West Bengal,15.7
Tata Safari,Blue,Petrol,Automatic,1246752.17,2024-06-12,2024-07-05,West Bengal,14.1
Tata Altroz,Black,CNG,Automatic,1911347.89,2023-11-17,2023-12-07,West Bengal,22.1
Tata Tiago,Black,CNG,Automatic,530549.02,2023-09-26,2023-10-08,Uttar Pradesh,10.1
Tata Tiago,Black,Diesel,Automatic,1178237.91,2024-03-25,2024-04-17,Uttar Pradesh,23.5
Tata Altroz,Black,CNG,Automatic,1911541.62,2024-08-02,2024-10-24,West Bengal,24.5
Tata Altroz,Orange,CNG,Automatic,1210767.59,2024-07-20,2024-09-21,Uttar Pradesh,14.4
Tata Harrier,Blue,Diesel,Automatic,916011.52,2024-07-06,2024-08-24,Uttar Pradesh,20.2
Tata Nexon,Orange,Diesel,Manual,553619.41,2024-03-17,2024-04-22,Maharashtra,21.6
Tata Nexon,Orange,Electric,Automatic,1757778.0,2024-04-22,2024-05-27,Uttar Pradesh,12.9
Tata Tigor,Grey,CNG,Automatic,506423.71,2024-07-27,2024-09-09,Gujarat,16.6
Tata Altroz,Black,Petrol,Manual,898492.31,2024-01-05,2024-03-20,Karnataka,20.4
Tata Altroz,Orange,CNG,Automatic,1163912.41,2024-06-16,2024-08-22,Gujarat,16.9
Tata Nexon,Blue,CNG,Manual,1195414.67,2023-09-27,2023-11-14,West Bengal,24.4
Tata Altroz,Blue,Diesel,Manual,1048086.19,2023-12-23,2024-02-22,Gujarat,14.3
Tata Altroz,Orange,Diesel,Manual,907625.88,2024-03-19,2024-05-29,Gujarat,11.2
Tata Nexon,Red,Diesel,Manual,1563644.06,2023-12-26,2024-02-15,Gujarat,15.3
Tata Tiago,Blue,CNG,Manual,1221374.34,2024-05-04,2024-06-08,Delhi,24.3
Tata Altroz,Orange,Electric,Automatic,1349256.62,2024-05-12,2024-06-15,Karnataka,17.6
Tata Nexon,White,Electric,Automatic,1139840.81,2024-07-07,2024-08-30,Tamil Nadu,20.6
Tata Nexon,Grey,Electric,Automatic,797816.94,2023-11-15,2024-01-22,Uttar Pradesh,17.9
Tata Tigor,Blue,Petrol,Automatic,2247274.62,2024-09-06,2024-09-30,Delhi,14.1
Tata Altroz,Orange,Electric,Manual,2445328.71,2024-02-25,2024-04-04,Gujarat,24.0
Tata Tigor,Silver,Diesel,Manual,1004855.0,2024-03-15,2024-04-21,Gujarat,11.3
Tata Nexon,Silver,Diesel,Manual,1425016.98,2024-02-09,2024-03-03,Maharashtra,16.3
Tata Safari,White,Petrol,Manual,2001826.66,2023-10-26,2023-12-28,Uttar Pradesh,10.7
Tata Safari,Black,CNG,Automatic,2029122.21,2024-03-02,2024-04-27,Uttar Pradesh,23.4
Tata Nexon,Black,Diesel,Automatic,2338833.22,2023-09-25,2023-11-07,Tamil Nadu,18.7
Tata Tiago,Red,Petrol,Automatic,920575.85,2024-02-22,2024-03-12,Delhi,23.4
Tata Tigor,Black,CNG,Manual,1429848.36,2024-07-09,2024-07-15,Uttar Pradesh,17.4
Tata Safari,Blue,Diesel,Manual,1844756.38,2023-10-10,2023-10-22,Maharashtra,19.7
Tata Harrier,Silver,CNG,Manual,1376239.59,2024-05-14,2024-05-21,West Bengal,16.1
Tata Tigor,Black,Diesel,Manual,2473365.82,2024-05-17,2024-07-07,Karnataka,19.5
Tata Tigor,Black,Petrol,Manual,2037937.21,2024-03-08,2024-04-24,West Bengal,12.3
Tata Nexon,Grey,Diesel,Automatic,1290334.71,2024-07-26,2024-09-30,West Bengal,19.8
Tata Tiago,Orange,Electric,Automatic,2009382.83,2023-11-28,2024-01-22,Uttar Pradesh,17.5
Tata Tigor,Blue,Diesel,Manual,1591261.7,2023-12-27,2024-02-02,West Bengal,21.7
Tata Punch,White,Petrol,Automatic,635872.44,2023-10-12,2024-01-04,Karnataka,20.0
Tata Tiago,Blue,Electric,Manual,633540.41,2024-06-23,2024-07-19,Maharashtra,13.0
Tata Tigor,Red,Diesel,Automatic,1075662.03,2024-03-04,2024-05-05,Gujarat,21.4
Tata Safari,Grey,CNG,Manual,610388.01,2023-11-09,2023-12-18,Tamil Nadu,20.3
Tata Safari,Black,Diesel,Manual,1416639.02,2023-12-21,2024-03-08,Maharashtra,16.7
Tata Punch,Black,Electric,Automatic,1070303.14,2023-10-23,2023-12-06,Maharashtra,17.6
Tata Tiago,Orange,Petrol,Manual,1313578.76,2024-08-18,2024-08-27,Gujarat,11.5
Tata Altroz,White,Electric,Manual,1582101.52,2024-01-11,2024-01-17,West Bengal,19.3
Tata Altroz,Black,CNG,Manual,1734174.43,2023-12-31,2024-01-31,West Bengal,17.3
Tata Safari,White,Electric,Automatic,2137842.25,2024-06-04,2024-08-06,Delhi,14.7
Tata Tiago,Black,Electric,Manual,1491700.66,2024-01-23,2024-02-09,West Bengal,23.5
Tata Altroz,Red,Electric,Manual,1815619.92,2024-05-03,2024-07-24,West Bengal,22.4
Tata Punch,Black,Petrol,Manual,1546829.51,2024-08-31,2024-10-25,Gujarat,13.3
Tata Tigor,Orange,Electric,Automatic,1699127.33,2024-07-18,2024-08-23,West Bengal,13.1
Tata Safari,Red,Electric,Manual,891766.19,2024-08-08,2024-10-08,Karnataka,14.8
Tata Tiago,Grey,Electric,Automatic,2372201.27,2024-05-18,2024-06-26,Tamil Nadu,11.4
Tata Tigor,Silver,Electric,Manual,2177229.61,2023-10-09,2023-11-05,Gujarat,13.8
Tata Tiago,Blue,Electric,Automatic,2216550.24,2023-12-25,2024-03-18,West Bengal,17.0
Tata Altroz,Silver,Electric,Automatic,2232256.95,2023-09-30,2023-12-17,Karnataka,13.2
Tata Tiago,Orange,Petrol,Automatic,1948647.35,2023-11-24,2024-01-15,Delhi,18.3
Tata Tigor,White,Electric,Automatic,1156040.99,2024-01-13,2024-02-09,Gujarat,20.4
Tata Nexon,Silver,Petrol,Manual,2498643.06,2024-09-15,2024-10-23,Uttar Pradesh,14.3
Tata Altroz,Black,Electric,Automatic,1003197.82,2024-03-29,2024-04-30,Gujarat,12.9
Tata Nexon,Silver,CNG,Manual,2353055.12,2023-11-07,2023-11-18,Uttar Pradesh,13.0
Tata Nexon,Grey,Diesel,Manual,2445213.87,2024-07-17,2024-09-23,Maharashtra,12.9
Tata Altroz,Grey,Electric,Automatic,1514743.88,2024-09-05,2024-10-04,Uttar Pradesh,23.9
Tata Harrier,White,Electric,Automatic,596402.37,2024-05-26,2024-07-23,West Bengal,21.9
Tata Harrier,Blue,Electric,Automatic,610502.33,2024-08-06,2024-10-27,Tamil Nadu,16.2
Tata Nexon,Black,Electric,Manual,1217520.72,2024-08-21,2024-10-31,Uttar Pradesh,17.6
Tata Altroz,White,Diesel,Automatic,1773057.73,2024-01-15,2024-03-24,Delhi,19.4
Tata Punch,White,Diesel,Automatic,1237725.4,2024-06-06,2024-08-09,Delhi,24.8
Tata Altroz,Red,Petrol,Manual,1909942.99,2024-04-08,2024-05-28,Tamil Nadu,24.1
Tata Tigor,Black,CNG,Automatic,1738781.98,2023-10-13,2023-12-11,Tamil Nadu,24.5
Tata Tiago,Grey,Petrol,Automatic,1556621.38,2024-02-07,2024-03-24,Delhi,20.0
Tata Tigor,Silver,CNG,Manual,734573.75,2024-04-16,2024-07-01,Maharashtra,15.5
Tata Tigor,Red,Petrol,Manual,820451.87,2024-04-17,2024-06-29,Uttar Pradesh,22.5
Tata Punch,Grey,CNG,Manual,813417.02,2024-07-08,2024-07-09,Karnataka,13.9
Tata Punch,Blue,CNG,Manual,932102.83,2024-04-30,2024-06-30,Maharashtra,15.2
Tata Punch,Orange,Petrol,Manual,2481118.84,2024-05-24,2024-06-06,Maharashtra,16.6
Tata Harrier,Grey,Diesel,Automatic,1060085.07,2023-10-30,2023-12-09,Uttar Pradesh,13.6
Tata Safari,Grey,Petrol,Manual,1150882.34,2024-05-12,2024-06-24,Uttar Pradesh,11.2
Tata Harrier,Silver,Electric,Manual,714854.6,2023-09-25,2023-11-11,Tamil Nadu,21.8
Tata Punch,Blue,Electric,Automatic,806163.06,2024-09-06,2024-10-11,West Bengal,16.3
Tata Tigor,White,Petrol,Automatic,1172010.63,2024-04-20,2024-07-19,Uttar Pradesh,17.1
Tata Tigor,Grey,Diesel,Automatic,786589.05,2024-02-02,2024-02-26,West Bengal,23.9
Tata Nexon,Black,Petrol,Manual,1588317.25,2023-12-27,2024-03-10,Maharashtra,14.9
Tata Altroz,Grey,Petrol,Automatic,529007.78,2024-05-30,2024-07-05,Tamil Nadu,14.8
Tata Safari,Blue,CNG,Manual,1271997.1,2024-01-09,2024-02-27,Karnataka,21.6
Tata Tiago,Red,Electric,Automatic,2049783.67,2024-03-12,2024-05-17,Maharashtra,19.1
Tata Punch,Blue,CNG,Automatic,2329282.16,2024-09-13,2024-09-22,Gujarat,12.7
Tata Tiago,Red,Petrol,Automatic,2166017.2,2023-10-14,2023-12-25,Karnataka,16.9
Tata Tiago,Grey,CNG,Automatic,502670.03,2024-05-06,2024-05-12,Gujarat,23.6
Tata Tigor,White,CNG,Automatic,525711.66,2024-05-20,2024-07-14,Uttar Pradesh,19.4
Tata Nexon,Black,CNG,Automatic,1743168.93,2023-10-02,2023-10-08,Delhi,18.2
Tata Harrier,White,Electric,Manual,1923704.61,2024-01-25,2024-02-16,Delhi,21.2
Tata Tigor,Orange,Electric,Automatic,2062815.98,2024-06-04,2024-08-26,Tamil Nadu,12.8
Tata Safari,Red,Diesel,Manual,609201.99,2024-01-20,2024-03-24,Maharashtra,14.3
Tata Tiago,Grey,Diesel,Manual,1659234.21,2024-03-02,2024-03-23,Uttar Pradesh,15.6
Tata Tiago,Orange,Petrol,Manual,1622834.06,2024-06-11,2024-09-08,Uttar Pradesh,12.0
Tata Harrier,White,Diesel,Manual,1979092.39,2024-05-20,2024-06-21,Tamil Nadu,17.8
Tata Tigor,Silver,Diesel,Manual,815819.02,2023-10-17,2023-12-20,Karnataka,22.3
Tata Tiago,Orange,Electric,Manual,874083.09,2024-08-18,2024-09-23,Karnataka,21.4
Tata Tiago,White,Diesel,Manual,1122055.54,2024-05-22,2024-08-15,West Bengal,13.5
Tata Safari,Grey,CNG,Manual,1626588.84,2023-12-25,2024-01-16,West Bengal,11.6
Tata Safari,Red,CNG,Manual,1666062.15,2023-10-10,2023-12-05,Gujarat,19.7
Tata Harrier,Orange,Petrol,Manual,2194100.38,2024-01-24,2024-02-23,Delhi,24.7
Tata Punch,Orange,Electric,Manual,1790519.9,2024-02-24,2024-04-05,Uttar Pradesh,19.3
Tata Safari,Black,Electric,Automatic,762141.24,2024-07-29,2024-08-23,Tamil Nadu,18.5
Tata Tiago,Red,Diesel,Manual,1298550.3,2024-02-21,2024-04-21,Tamil Nadu,21.0
Tata Safari,Orange,Diesel,Manual,2273281.47,2023-12-11,2024-02-24,Tamil Nadu,17.4
Tata Tigor,White,Petrol,Automatic,808917.55,2024-04-28,2024-06-16,Karnataka,10.2
Tata Safari,White,CNG,Automatic,2332514.49,2024-06-02,2024-06-09,Maharashtra,23.9
Tata Tigor,Black,Petrol,Automatic,1251632.82,2023-12-23,2024-01-18,Uttar Pradesh,21.0
Tata Harrier,Grey,Diesel,Automatic,1967699.85,2023-09-19,2023-10-10,Delhi,23.2
Tata Tigor,Silver,Diesel,Automatic,957740.05,2024-08-28,2024-09-06,Delhi,23.4
Tata Safari,Black,Electric,Automatic,1756257.82,2024-02-14,2024-04-15,Gujarat,21.7
Tata Safari,Grey,Petrol,Automatic,1093882.21,2024-01-23,2024-02-09,Maharashtra,24.0
Tata Nexon,Black,CNG,Automatic,1667588.42,2024-06-17,2024-06-20,Uttar Pradesh,20.5
Tata Tigor,Red,Petrol,Automatic,1080629.29,2023-12-15,2024-02-02,Maharashtra,18.9
Tata Harrier,Grey,Diesel,Manual,1814364.02,2024-08-28,2024-11-11,Tamil Nadu,20.5
Tata Tiago,Red,Electric,Manual,1344787.34,2024-07-29,2024-08-25,Maharashtra,16.5
Tata Safari,Red,Petrol,Manual,990366.12,2023-11-30,2024-02-06,Tamil Nadu,14.5
Tata Punch,Silver,Petrol,Automatic,2126347.64,2024-05-14,2024-06-23,West Bengal,23.9
Tata Tiago,Blue,Electric,Manual,2356320.69,2023-12-05,2023-12-27,Uttar Pradesh,21.1
Tata Nexon,Red,Petrol,Automatic,1810875.23,2023-11-15,2024-01-20,Uttar Pradesh,19.7
Tata Safari,Grey,Electric,Manual,2347062.1,2024-08-23,2024-11-12,Uttar Pradesh,20.2
Tata Nexon,Grey,Diesel,Automatic,2415999.32,2024-01-04,2024-02-16,Tamil Nadu,10.0
Tata Nexon,Red,Diesel,Manual,2062481.23,2024-02-10,2024-04-30,Gujarat,11.0
Tata Punch,White,CNG,Manual,2208924.66,2023-11-15,2023-11-30,Delhi,23.0
Tata Tiago,Black,CNG,Automatic,2322627.27,2024-08-22,2024-10-31,Delhi,24.6
Tata Safari,Orange,Electric,Manual,2051394.28,2024-02-05,2024-02-29,Maharashtra,24.3
Tata Tigor,Silver,Electric,Automatic,1549501.11,2024-08-03,2024-09-12,Uttar Pradesh,16.7
Tata Tigor,White,CNG,Automatic,2352377.72,2024-03-18,2024-04-05,West Bengal,12.6
Tata Tigor,Blue,Electric,Automatic,1956699.21,2023-12-05,2024-01-15,Delhi,16.3
Tata Punch,White,Petrol,Automatic,1310463.63,2024-01-16,2024-03-11,Gujarat,11.9
Tata Tigor,White,CNG,Manual,1510359.97,2023-11-12,2023-12-22,Tamil Nadu,10.1
Tata Altroz,Silver,Electric,Manual,1907962.62,2024-02-17,2024-05-11,Maharashtra,21.6
Tata Tigor,Red,CNG,Manual,877786.85,2024-03-25,2024-06-04,West Bengal,22.8
Tata Punch,White,Petrol,Manual,883995.33,2024-03-03,2024-04-19,Delhi,11.8
Tata Punch,Grey,Diesel,Manual,1759036.36,2023-09-23,2023-11-05,Delhi,13.5
Tata Tigor,Silver,Diesel,Manual,1213465.01,2024-02-11,2024-02-25,Karnataka,18.6
Tata Altroz,Red,Electric,Automatic,941195.25,2024-08-19,2024-08-21,Gujarat,15.1
Tata Harrier,Red,Electric,Automatic,1347709.58,2024-03-25,2024-06-06,Delhi,20.6
Tata Harrier,Blue,Diesel,Automatic,1106745.56,2023-11-24,2024-01-03,West Bengal,22.4
Tata Tiago,Red,Diesel,Automatic,1447356.87,2024-02-04,2024-03-16,West Bengal,13.5
Tata Harrier,Grey,Diesel,Automatic,634370.01,2024-07-18,2024-08-08,Maharashtra,21.2
Tata Tigor,Red,Electric,Automatic,1112588.25,2024-01-14,2024-03-07,Tamil Nadu,20.5
Tata Tigor,White,Petrol,Automatic,639901.62,2024-02-02,2024-03-16,Delhi,13.8
Tata Safari,Black,Petrol,Automatic,1111768.3,2023-10-04,2023-11-13,Karnataka,11.6
Tata Safari,White,CNG,Manual,1251131.56,2024-05-23,2024-07-11,Karnataka,14.9
Tata Safari,Grey,CNG,Automatic,2391088.14,2023-12-28,2024-03-24,West Bengal,18.5
Tata Harrier,Red,Diesel,Manual,1937639.79,2024-07-27,2024-08-16,Gujarat,22.8
Tata Tigor,Grey,Petrol,Manual,1203960.02,2024-05-19,2024-06-02,Tamil Nadu,22.7
Tata Tigor,Orange,Electric,Automatic,2306589.38,2023-12-26,2024-03-14,Delhi,11.6
Tata Altroz,Black,Diesel,Automatic,2359691.26,2024-07-06,2024-07-10,Delhi,21.0
Tata Punch,White,Electric,Automatic,1984341.4,2024-08-28,2024-10-08,Maharashtra,23.1
Tata Altroz,Silver,Petrol,Manual,1009275.36,2024-04-27,2024-05-22,Karnataka,17.1
Tata Punch,Black,Electric,Automatic,1208548.65,2024-03-21,2024-06-17,Tamil Nadu,18.6
