model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tata Altroz,XM,Bronze,Diesel,Manual,769224.82,2023-11-18,2024-05-01,Telangana,20.7,1.9,0,0,5,175.6,307
Tata Nexon,XZ+ Lux,Orange,Petrol,Manual,1365674.59,2023-10-03,2024-03-02,Kerala,21.5,1.6,0,0,5,175.6,406
Tata Tiago,XZ+ Lux,Orange,Petrol,Manual,584497.13,2023-01-16,2023-03-05,Haryana,19.5,1.3,0,0,5,176.8,313
Tata Tigor,XZ,Copper,Petrol,Automatic,635490.07,2023-07-20,2023-09-21,Bihar,24.4,1.6,0,0,5,166.0,265
Tata Harrier,XZ+ Lux,Bronze,Petrol,Manual,2378414.01,2023-08-01,2023-08-15,Bihar,15.0,1.7,0,0,7,202.3,350
Tata Tiago,XZ,Grey,Diesel,Manual,707696.0,2024-02-08,2024-03-23,Delhi,24.6,1.2,0,0,5,190.5,358
Tata Punch,XM,Black,Electric,Automatic,890210.72,2022-12-18,2023-05-14,Gujarat,19.6,0,41.8,6.2,5,199.8,378
Tata Altroz,XM,Copper,Diesel,Manual,778548.41,2024-07-21,2024-12-01,Punjab,20.9,1.3,0,0,5,195.8,431
Tata Tiago,XM,Copper,Petrol,Manual,782406.36,2023-04-11,2023-09-02,Punjab,25.4,1.7,0,0,5,193.6,431
Tata Punch,XM,Orange,Diesel,Manual,715774.48,2022-12-10,2023-03-11,Uttar Pradesh,18.4,1.2,0,0,5,176.8,371
Tata Nexon,XE,Black,Petrol,Manual,916284.04,2024-07-21,2024-12-16,Gujarat,19.9,1.5,0,0,5,184.0,361
Tata Punch,XE,Silver,Petrol,Automatic,678778.77,2022-09-29,2022-10-16,Punjab,18.7,1.6,0,0,5,174.5,316
Tata Nexon,XM,Copper,Electric,Manual,1111350.38,2023-04-21,2023-08-16,Odisha,18.3,0,42.7,8.6,5,174.1,254
Tata Punch,XE,Red,Petrol,Manual,657528.57,2023-02-02,2023-02-17,Madhya Pradesh,19.1,1.1,0,0,5,204.2,418
Tata Tigor,XZ+ Lux,Bronze,Diesel,Manual,799272.16,2023-07-18,2023-07-30,Punjab,19.1,1.8,0,0,5,191.3,270
Tata Altroz,XZ+ Lux,Grey,Electric,Manual,698892.14,2023-04-20,2023-07-17,Gujarat,21.0,0,39.1,9.3,5,207.3,283
Tata Harrier,XZ,White,Electric,Automatic,1504930.54,2023-11-27,2024-04-22,Uttar Pradesh,15.7,0,45.9,7.8,5,189.9,396
Tata Punch,XZ+,Grey,Petrol,Automatic,665610.79,2024-06-13,2024-09-09,Kerala,22.4,2.0,0,0,5,208.3,256
Tata Tiago,XZ+ Lux,Blue,Petrol,Manual,572758.09,2023-12-12,2024-03-24,Uttar Pradesh,24.7,1.9,0,0,5,188.2,447
Tata Altroz,XM,Black,Electric,Automatic,916160.44,2022-10-27,2022-11-10,Odisha,19.2,0,36.0,6.8,5,198.8,360
Tata Tiago,XZ,Green,Diesel,Manual,797475.4,2023-06-07,2023-08-27,Maharashtra,25.0,1.5,0,0,5,185.1,267
Tata Nexon,XE,Red,Petrol,Automatic,1318248.26,2024-07-02,2024-10-20,Haryana,19.4,1.8,0,0,5,187.5,340
Tata Safari,XZ,Grey,Diesel,Manual,1601351.71,2023-05-18,2023-09-27,Odisha,15.8,1.6,0,0,7,185.0,327
Tata Punch,XZ,Bronze,Petrol,Manual,985718.99,2022-11-25,2023-03-15,Delhi,20.5,1.4,0,0,5,188.8,440
Tata Altroz,XZ+,Green,Diesel,Manual,742133.53,2023-05-29,2023-10-24,Kerala,22.8,1.6,0,0,5,176.0,395
Tata Nexon,XZ,Black,Petrol,Automatic,992622.05,2024-04-18,2024-05-29,Bihar,19.2,1.1,0,0,5,206.7,390
Tata Altroz,XZ,Green,Petrol,Automatic,881420.83,2023-08-31,2023-09-04,Kerala,23.4,1.8,0,0,5,169.3,416
Tata Punch,XE,Bronze,Electric,Manual,982418.09,2024-05-03,2024-10-25,Kerala,19.2,0,46.5,9.3,5,204.1,442
Tata Nexon,XE,Black,Petrol,Manual,850737.9,2023-03-06,2023-06-09,Maharashtra,19.6,1.4,0,0,5,171.1,315
Tata Safari,XZ,Bronze,Diesel,Manual,2465341.75,2023-12-10,2024-03-19,Telangana,15.1,1.1,0,0,7,185.6,334
Tata Tigor,XZ,White,Petrol,Manual,811530.26,2024-06-12,2024-08-25,Tamil Nadu,21.3,1.7,0,0,5,205.2,325
Tata Safari,XZ,Bronze,Diesel,Manual,2393704.79,2024-08-26,2024-09-06,Uttar Pradesh,16.2,1.4,0,0,5,205.2,350
Tata Tiago,XZ+,Bronze,Diesel,Manual,698169.64,2024-05-24,2024-06-16,Gujarat,25.3,1.5,0,0,5,173.3,438
Tata Altroz,XE,Bronze,Electric,Manual,910864.81,2023-03-05,2023-07-29,Kerala,19.5,0,43.7,9.7,5,200.2,332
Tata Tigor,XE,Copper,Diesel,Manual,905092.03,2023-06-13,2023-08-07,Rajasthan,19.5,1.5,0,0,5,191.8,416
Tata Tiago,XZ+ Lux,White,Petrol,Manual,541993.99,2023-11-16,2024-03-08,Karnataka,22.3,1.9,0,0,5,197.1,361
Tata Nexon,XZ,Copper,Petrol,Manual,1380769.05,2023-05-27,2023-06-21,Punjab,18.6,1.1,0,0,5,170.6,262
Tata Safari,XM,Black,Petrol,Manual,1952667.78,2024-02-19,2024-08-03,Telangana,14.5,1.9,0,0,7,174.1,261
Tata Safari,XZ+,White,Diesel,Manual,2325294.72,2024-01-17,2024-07-15,Kerala,16.1,1.3,0,0,5,198.0,373
Tata Tiago,XE,Copper,Diesel,Automatic,614620.56,2023-04-27,2023-05-17,Bihar,19.1,1.1,0,0,5,167.0,391
Tata Tiago,XZ+,Grey,Diesel,Manual,592625.0,2024-07-21,2025-01-12,Punjab,22.9,1.9,0,0,5,169.8,447
Tata Safari,XZ+ Lux,Orange,Diesel,Manual,2222555.23,2023-10-16,2023-11-13,Uttar Pradesh,16.0,1.6,0,0,5,171.7,414
Tata Tigor,XM,Orange,Diesel,Manual,805160.27,2023-04-20,2023-09-26,Bihar,23.7,1.1,0,0,5,202.9,392
Tata Tigor,XE,Bronze,Diesel,Manual,675913.11,2023-11-13,2024-04-10,Kerala,19.7,1.9,0,0,5,196.3,298
Tata Tigor,XZ+ Lux,Black,Diesel,Automatic,637956.37,2022-12-06,2023-01-04,Odisha,20.7,1.5,0,0,5,182.2,273
Tata Altroz,XM,Red,Petrol,Manual,816523.21,2023-10-28,2024-01-11,West Bengal,22.5,1.4,0,0,5,206.2,441
Tata Harrier,XZ+,Copper,Petrol,Automatic,2063961.93,2024-07-22,2024-08-09,West Bengal,14.5,1.6,0,0,5,195.1,435
Tata Altroz,XZ,Orange,Diesel,Manual,807798.26,2024-09-04,2024-12-03,Rajasthan,22.0,1.5,0,0,5,180.5,383
Tata Tigor,XE,Green,Electric,Automatic,607984.02,2024-09-07,2024-12-17,Punjab,23.8,0,48.8,6.4,5,186.6,388
Tata Tigor,XZ+,Green,Petrol,Automatic,641110.89,2023-06-22,2023-07-16,Maharashtra,20.0,1.7,0,0,5,171.4,287
Tata Nexon,XZ+ Lux,Silver,Petrol,Manual,975193.24,2024-01-05,2024-06-18,Punjab,19.1,1.5,0,0,5,184.4,328
Tata Altroz,XZ,White,Petrol,Automatic,800259.74,2022-11-21,2023-04-20,Gujarat,22.1,1.4,0,0,5,194.2,371
Tata Safari,XZ+,Copper,Diesel,Automatic,2338678.94,2022-09-28,2022-11-30,Punjab,16.0,1.3,0,0,7,171.6,365
Tata Altroz,XM,Grey,Petrol,Automatic,742297.42,2023-02-05,2023-04-28,Telangana,24.1,1.9,0,0,5,168.4,342
Tata Tigor,XZ+,Black,Diesel,Automatic,619549.92,2023-07-26,2023-12-11,Uttar Pradesh,24.0,1.5,0,0,5,202.2,333
Tata Altroz,XZ,Black,Diesel,Automatic,600873.86,2023-12-18,2024-02-06,Punjab,24.0,1.1,0,0,5,196.4,391
Tata Safari,XZ+ Lux,Grey,Electric,Manual,2106452.27,2023-05-13,2023-09-07,Uttar Pradesh,14.1,0,39.0,6.8,5,182.3,440
Tata Safari,XM,Grey,Diesel,Automatic,2267673.32,2022-12-20,2023-03-26,Gujarat,15.8,1.9,0,0,7,177.1,304
Tata Punch,XZ,Black,CNG,Automatic,816877.01,2024-04-15,2024-05-17,Tamil Nadu,20.5,1.4,0,0,5,172.1,344
Tata Safari,XZ,Black,CNG,Automatic,2037657.32,2022-11-12,2023-02-16,Delhi,15.2,1.1,0,0,5,168.6,446
Tata Punch,XZ+,White,Petrol,Manual,647531.2,2023-04-10,2023-09-09,Karnataka,19.7,1.1,0,0,5,203.8,265
Tata Harrier,XZ+ Lux,White,Petrol,Manual,2172134.11,2024-07-04,2024-10-07,West Bengal,14.1,1.4,0,0,5,197.9,310
Tata Altroz,XZ+,Green,Diesel,Automatic,816721.91,2023-05-31,2023-10-19,Delhi,21.1,1.3,0,0,5,208.6,302
Tata Punch,XZ+ Lux,Copper,Electric,Automatic,616572.19,2022-11-14,2022-12-13,Bihar,21.2,0,37.5,6.6,5,180.8,409
Tata Harrier,XZ+ Lux,Orange,Petrol,Manual,2073798.92,2023-09-18,2024-02-05,Odisha,16.3,1.8,0,0,5,180.0,388
Tata Harrier,XM,White,Diesel,Automatic,2148035.32,2023-11-14,2024-04-27,Haryana,14.3,1.2,0,0,5,169.4,402
Tata Punch,XE,Bronze,Diesel,Automatic,886203.89,2024-05-30,2024-11-18,Bihar,19.0,1.8,0,0,5,181.0,351
Tata Altroz,XZ+,Red,Diesel,Automatic,855515.32,2023-03-22,2023-08-25,Gujarat,23.8,1.3,0,0,5,205.8,391
Tata Tiago,XZ,Silver,Diesel,Automatic,663057.04,2023-03-09,2023-04-20,Bihar,23.0,1.9,0,0,5,175.7,387
Tata Tigor,XZ+,Blue,Petrol,Manual,873460.14,2023-05-26,2023-05-27,Delhi,22.2,1.3,0,0,5,178.5,367
Tata Tiago,XZ+,Copper,Electric,Manual,536937.63,2023-07-29,2023-11-01,Odisha,25.9,0,31.7,9.1,5,170.4,403
Tata Tigor,XZ+,Silver,Diesel,Manual,902922.47,2024-05-02,2024-10-26,Rajasthan,20.0,1.2,0,0,5,193.7,300
Tata Nexon,XE,Copper,Petrol,Automatic,731184.29,2023-06-11,2023-08-21,Rajasthan,17.3,1.2,0,0,5,177.1,326
Tata Tigor,XZ+,Silver,Petrol,Manual,818684.28,2024-06-20,2024-11-21,Maharashtra,20.3,1.5,0,0,5,176.2,301
Tata Harrier,XE,Green,Diesel,Manual,1527861.99,2024-05-25,2024-10-07,Odisha,14.1,1.4,0,0,7,171.7,440
Tata Tigor,XZ+ Lux,Orange,Diesel,Automatic,756684.63,2023-09-12,2023-09-23,Maharashtra,24.8,1.6,0,0,5,206.5,307
Tata Nexon,XZ,Blue,Diesel,Manual,1248266.7,2024-05-31,2024-11-23,Rajasthan,20.2,1.1,0,0,5,170.2,418
Tata Tigor,XZ,Green,Petrol,Automatic,893346.41,2023-02-22,2023-03-11,Punjab,19.6,1.7,0,0,5,189.9,262
Tata Altroz,XZ+ Lux,Orange,Petrol,Manual,744730.07,2023-08-19,2023-11-25,Rajasthan,23.7,2.0,0,0,5,172.3,271
Tata Harrier,XE,White,Diesel,Manual,1849338.93,2022-11-11,2023-03-03,Punjab,14.8,1.4,0,0,5,168.8,410
Tata Tiago,XZ+ Lux,Red,Petrol,Automatic,656916.53,2023-02-26,2023-03-02,Tamil Nadu,20.9,1.9,0,0,5,168.2,269
Tata Tiago,XE,Green,Diesel,Manual,750387.96,2024-01-23,2024-04-03,Maharashtra,20.7,1.1,0,0,5,166.2,298
Tata Punch,XM,Green,Electric,Automatic,716439.36,2022-10-01,2022-10-06,Bihar,22.8,0,44.8,9.3,5,187.4,360
Tata Nexon,XE,Copper,Diesel,Manual,737800.85,2024-08-08,2024-12-27,Karnataka,21.7,1.7,0,0,5,169.3,267
Tata Altroz,XE,Black,Diesel,Manual,760544.81,2023-05-09,2023-07-08,Kerala,23.5,1.2,0,0,5,179.5,432
Tata Tigor,XZ+ Lux,Black,Petrol,Automatic,813133.59,2023-12-10,2024-04-09,Maharashtra,19.7,2.0,0,0,5,207.1,282
Tata Punch,XZ+ Lux,Silver,Petrol,Manual,663120.97,2023-12-21,2024-02-22,Rajasthan,18.7,1.9,0,0,5,167.3,258
Tata Tiago,XZ+,White,Petrol,Manual,697096.34,2024-09-18,2024-09-21,West Bengal,22.7,1.0,0,0,5,181.9,311
Tata Tigor,XM,Bronze,Petrol,Manual,741633.26,2024-07-11,2024-08-02,Punjab,24.4,1.1,0,0,5,180.1,426
Tata Nexon,XZ,Copper,Petrol,Manual,752361.9,2023-06-12,2023-08-23,Karnataka,17.0,1.3,0,0,5,204.2,389
Tata Safari,XM,Grey,Petrol,Manual,1953989.65,2023-12-04,2024-05-21,Tamil Nadu,14.0,1.9,0,0,7,193.4,328
Tata Tiago,XE,Copper,Petrol,Manual,602777.58,2023-11-25,2024-05-12,Maharashtra,21.8,1.1,0,0,5,166.4,329
Tata Altroz,XM,Red,Diesel,Manual,704880.23,2023-03-21,2023-03-29,Odisha,23.4,1.2,0,0,5,171.8,349
Tata Punch,XM,Orange,Petrol,Manual,666371.16,2024-07-04,2024-08-20,Rajasthan,23.5,1.2,0,0,5,203.5,307
Tata Punch,XZ+,Green,CNG,Automatic,637979.67,2024-09-03,2025-02-08,Delhi,18.7,1.7,0,0,5,187.3,330
Tata Harrier,XM,Bronze,Petrol,Automatic,2256358.69,2024-07-01,2024-08-08,Punjab,15.1,1.7,0,0,5,170.9,357
Tata Tigor,XZ+ Lux,Orange,Diesel,Automatic,821922.7,2023-04-20,2023-08-28,Bihar,24.5,1.8,0,0,5,185.4,418
Tata Harrier,XZ,Grey,Petrol,Automatic,2054014.42,2023-04-18,2023-07-03,Madhya Pradesh,14.3,1.9,0,0,5,202.2,311
Tata Tigor,XM,Orange,CNG,Manual,834125.44,2024-03-07,2024-08-21,Uttar Pradesh,22.6,1.6,0,0,5,183.4,401
Tata Altroz,XZ+ Lux,Red,Electric,Manual,655403.3,2023-02-22,2023-06-01,Odisha,24.7,0,45.1,8.1,5,173.0,318
Tata Tiago,XM,Black,Electric,Automatic,771914.69,2024-06-19,2024-11-14,Karnataka,25.6,0,35.4,7.9,5,194.0,371
Tata Tiago,XZ+,White,Petrol,Automatic,587010.82,2024-02-29,2024-08-15,West Bengal,19.1,1.6,0,0,5,203.1,351
Tata Nexon,XZ+,Blue,Electric,Automatic,1229930.96,2023-04-07,2023-08-25,Madhya Pradesh,16.1,0,44.6,6.0,5,202.0,354
Tata Altroz,XZ+ Lux,Orange,Petrol,Manual,845142.16,2023-02-24,2023-03-12,Karnataka,20.1,1.9,0,0,5,207.1,297
Tata Harrier,XE,Silver,Diesel,Automatic,2212229.31,2024-07-20,2024-11-29,Bihar,16.0,1.0,0,0,7,166.9,429
Tata Harrier,XE,Green,Petrol,Manual,2100441.27,2023-02-09,2023-02-17,Uttar Pradesh,14.2,1.5,0,0,5,187.3,318
Tata Punch,XZ,Orange,Diesel,Manual,907768.33,2024-04-28,2024-06-15,Odisha,20.2,1.1,0,0,5,184.9,261
Tata Nexon,XZ+ Lux,Blue,Diesel,Automatic,1184205.79,2023-07-05,2023-07-27,Rajasthan,20.3,1.1,0,0,5,168.6,292
Tata Altroz,XZ,Silver,Petrol,Manual,623969.39,2023-07-30,2023-11-01,Punjab,20.4,1.3,0,0,5,184.0,439
Tata Tigor,XZ+ Lux,Silver,Diesel,Manual,799220.29,2022-09-22,2022-12-30,Madhya Pradesh,24.4,1.9,0,0,5,171.7,421
Tata Safari,XM,Green,Diesel,Manual,1502404.14,2023-08-21,2023-10-27,West Bengal,15.6,1.9,0,0,7,201.0,385
Tata Tigor,XE,Green,Petrol,Automatic,651822.69,2024-09-05,2025-02-18,Rajasthan,19.6,1.5,0,0,5,201.6,396
Tata Tiago,XZ+,Orange,Petrol,Manual,516063.93,2024-04-23,2024-06-02,Punjab,25.8,1.7,0,0,5,189.1,255
Tata Punch,XZ+ Lux,Silver,Diesel,Manual,760553.05,2024-01-09,2024-01-12,Maharashtra,20.2,1.9,0,0,5,171.5,330
Tata Harrier,XM,Bronze,Electric,Automatic,1700795.96,2023-01-19,2023-03-23,Rajasthan,17.0,0,36.3,8.8,7,176.3,323
Tata Altroz,XE,Bronze,Diesel,Manual,661711.41,2024-04-02,2024-05-14,Kerala,21.8,1.2,0,0,5,191.3,403
Tata Tigor,XZ,Orange,Diesel,Automatic,802535.49,2024-05-03,2024-08-08,Odisha,21.6,1.9,0,0,5,204.3,411
Tata Harrier,XZ,Red,Petrol,Manual,1673278.84,2022-12-13,2023-06-03,West Bengal,16.2,1.8,0,0,7,204.9,360
Tata Tigor,XE,Black,Diesel,Manual,848393.18,2023-06-07,2023-10-27,Tamil Nadu,22.7,1.9,0,0,5,193.3,290
Tata Nexon,XZ+,Orange,Diesel,Manual,1188233.6,2023-01-25,2023-04-25,Rajasthan,18.7,1.8,0,0,5,189.9,343
Tata Punch,XZ,Grey,Electric,Automatic,609320.18,2022-12-03,2023-03-25,West Bengal,20.4,0,36.5,6.6,5,192.0,427
Tata Punch,XM,Orange,Petrol,Manual,674444.27,2023-10-11,2024-03-16,Karnataka,23.9,1.4,0,0,5,169.1,439
Tata Tiago,XZ,Silver,Diesel,Manual,756992.57,2024-08-07,2024-08-09,Odisha,23.4,1.1,0,0,5,189.4,254
Tata Safari,XZ+ Lux,White,Petrol,Automatic,1656484.04,2023-06-29,2023-07-16,Bihar,15.3,1.2,0,0,5,181.4,256
Tata Safari,XZ+ Lux,White,Diesel,Manual,1707439.67,2023-02-17,2023-08-10,Gujarat,16.3,1.7,0,0,5,202.0,262
Tata Safari,XZ,Black,Petrol,Manual,1670513.13,2023-03-12,2023-04-17,Gujarat,14.4,1.2,0,0,7,183.0,321
Tata Nexon,XE,Blue,CNG,Manual,1192431.94,2023-10-23,2024-02-19,Tamil Nadu,17.5,1.9,0,0,5,190.0,272
Tata Altroz,XZ+,Blue,Petrol,Automatic,753678.3,2023-01-18,2023-03-30,Kerala,20.6,1.5,0,0,5,201.0,296
Tata Harrier,XE,Blue,Petrol,Manual,1908282.51,2024-07-20,2024-10-04,Haryana,14.9,1.4,0,0,5,169.7,252
Tata Altroz,XE,Grey,Petrol,Automatic,834161.91,2023-06-25,2023-07-02,Delhi,21.0,1.3,0,0,5,193.5,361
Tata Punch,XM,Grey,CNG,Manual,868608.0,2024-04-09,2024-06-22,West Bengal,20.1,2.0,0,0,5,201.3,374
Tata Altroz,XZ+,White,CNG,Manual,837076.16,2023-01-04,2023-02-24,Maharashtra,19.3,1.4,0,0,5,208.3,372
Tata Tigor,XE,Grey,Electric,Automatic,840306.23,2023-07-23,2023-07-30,Uttar Pradesh,22.6,0,49.5,7.5,5,168.6,419
Tata Tiago,XZ+,Copper,CNG,Manual,775327.36,2024-06-30,2024-08-28,Odisha,22.3,1.7,0,0,5,168.9,289
Tata Tiago,XZ+ Lux,Orange,Petrol,Automatic,554060.83,2023-05-13,2023-05-22,Delhi,24.4,1.2,0,0,5,187.1,344
Tata Safari,XE,Green,Petrol,Manual,2432361.53,2024-04-25,2024-07-25,Telangana,14.6,2.0,0,0,5,169.1,401
Tata Harrier,XZ+,Green,Diesel,Automatic,1678936.89,2023-05-03,2023-08-11,West Bengal,16.1,1.0,0,0,5,203.1,366
Tata Altroz,XZ+,Copper,Petrol,Manual,780124.61,2023-03-03,2023-03-28,Tamil Nadu,23.3,1.8,0,0,5,197.3,416
Tata Tiago,XM,Bronze,Petrol,Manual,744021.29,2023-03-09,2023-06-24,Uttar Pradesh,22.5,1.3,0,0,5,193.6,316
Tata Harrier,XZ+,Black,Diesel,Manual,1437567.22,2024-03-21,2024-07-10,Tamil Nadu,16.0,1.0,0,0,7,197.9,290
Tata Tigor,XZ+ Lux,Bronze,Diesel,Automatic,837167.62,2023-05-19,2023-10-21,Uttar Pradesh,19.1,1.7,0,0,5,184.3,307
Tata Safari,XE,White,CNG,Manual,1826748.75,2023-03-19,2023-03-26,Tamil Nadu,15.9,1.9,0,0,5,166.0,430
Tata Altroz,XZ+,Red,Diesel,Manual,828341.29,2023-11-28,2023-12-25,Punjab,19.7,1.5,0,0,5,190.9,271
Tata Punch,XZ+,Silver,Diesel,Automatic,677318.6,2023-03-06,2023-06-07,Rajasthan,18.5,1.6,0,0,5,174.1,335
Tata Nexon,XE,Copper,Electric,Manual,1081020.9,2024-08-04,2024-10-16,Karnataka,21.9,0,44.4,9.9,5,172.6,307
Tata Tiago,XE,Grey,Electric,Manual,581522.46,2024-06-12,2024-12-02,Tamil Nadu,23.5,0,41.8,7.5,5,200.7,437
Tata Tigor,XZ,Green,Petrol,Manual,921191.68,2023-04-27,2023-09-17,Karnataka,22.2,1.2,0,0,5,178.4,272
Tata Altroz,XZ,Blue,Petrol,Manual,702954.2,2023-07-14,2023-08-11,West Bengal,22.9,1.6,0,0,5,169.4,330
Tata Tigor,XZ+,Orange,Petrol,Manual,723314.06,2024-02-24,2024-03-25,Punjab,20.6,1.9,0,0,5,168.9,434
Tata Tigor,XM,Copper,Petrol,Automatic,731636.07,2024-06-27,2024-10-13,Rajasthan,22.1,2.0,0,0,5,178.8,258
Tata Tiago,XE,Silver,Petrol,Automatic,785061.17,2024-07-12,2024-11-20,Uttar Pradesh,23.7,1.1,0,0,5,206.4,426
Tata Punch,XM,Black,Petrol,Automatic,834538.48,2022-10-29,2022-12-01,Delhi,22.7,1.6,0,0,5,165.1,426
Tata Altroz,XZ+ Lux,Copper,Electric,Automatic,806264.67,2024-05-04,2024-05-25,Madhya Pradesh,23.9,0,35.2,6.8,5,186.4,310
Tata Safari,XZ+,Red,Petrol,Automatic,2463492.7,2024-02-07,2024-08-01,Rajasthan,14.4,1.9,0,0,7,169.1,257
Tata Altroz,XZ+ Lux,Black,Petrol,Automatic,743873.13,2023-04-10,2023-07-18,Madhya Pradesh,21.5,1.4,0,0,5,185.6,254
Tata Safari,XZ,Green,Petrol,Manual,2245704.95,2023-01-04,2023-06-01,Rajasthan,15.9,2.0,0,0,7,171.0,258
Tata Harrier,XM,Grey,Diesel,Manual,2318282.37,2023-08-04,2023-08-20,Odisha,15.0,1.4,0,0,5,171.4,375
Tata Tiago,XM,White,Diesel,Automatic,681745.63,2023-02-24,2023-03-17,Punjab,20.8,1.7,0,0,5,205.4,437
Tata Tiago,XE,Silver,Diesel,Manual,728659.99,2023-06-25,2023-07-02,Madhya Pradesh,20.6,1.3,0,0,5,189.8,389
Tata Harrier,XZ,White,Petrol,Automatic,1974825.97,2024-09-07,2024-11-12,Tamil Nadu,16.0,1.4,0,0,7,185.1,389
Tata Tiago,XZ+,Red,Electric,Automatic,529479.87,2023-07-22,2023-09-18,Uttar Pradesh,25.6,0,49.3,8.5,5,189.4,350
Tata Tiago,XZ,Green,Diesel,Automatic,698561.12,2024-01-03,2024-06-26,Gujarat,25.2,1.2,0,0,5,186.1,316
Tata Tigor,XZ+,Blue,Petrol,Automatic,724365.11,2023-04-11,2023-07-28,Gujarat,22.2,1.9,0,0,5,198.0,350
Tata Safari,XZ+ Lux,Black,Petrol,Manual,2450328.83,2023-07-04,2023-09-03,Haryana,15.6,1.3,0,0,7,200.1,386
Tata Nexon,XE,Orange,Petrol,Automatic,736435.13,2023-09-30,2024-03-21,West Bengal,20.5,1.3,0,0,5,165.7,284
Tata Safari,XZ,Black,Petrol,Automatic,1897575.38,2023-08-22,2023-12-14,Punjab,15.1,1.9,0,0,7,171.9,382
Tata Harrier,XZ+ Lux,Green,Petrol,Manual,2246224.04,2024-08-12,2024-09-27,Tamil Nadu,16.7,1.9,0,0,7,199.4,266
Tata Punch,XZ,Black,Diesel,Automatic,763759.34,2023-09-22,2024-03-02,Telangana,19.3,1.8,0,0,5,189.0,264
Tata Tigor,XM,Black,Electric,Manual,859590.7,2023-01-02,2023-06-03,Punjab,24.7,0,31.9,9.0,5,178.3,376
Tata Tigor,XZ+ Lux,Black,Petrol,Manual,640652.32,2024-08-31,2024-12-27,Gujarat,23.2,1.8,0,0,5,195.0,352
Tata Harrier,XM,Blue,Petrol,Automatic,2377721.05,2024-04-01,2024-04-25,Telangana,15.1,1.9,0,0,5,197.9,262
Tata Punch,XZ,Silver,Petrol,Automatic,983651.63,2023-04-29,2023-05-27,Bihar,20.6,1.6,0,0,5,192.6,433
Tata Safari,XM,Copper,Petrol,Manual,2335904.75,2023-06-03,2023-11-01,Haryana,16.5,1.9,0,0,5,175.1,387
Tata Altroz,XE,Silver,Electric,Automatic,871478.23,2023-05-25,2023-06-19,Maharashtra,22.4,0,40.4,9.5,5,188.2,417
Tata Nexon,XZ+ Lux,Copper,Diesel,Manual,1192455.9,2023-04-02,2023-08-21,Odisha,17.6,1.7,0,0,5,202.4,283
Tata Tigor,XM,Red,Petrol,Automatic,673974.12,2023-07-13,2023-09-19,Uttar Pradesh,22.4,1.6,0,0,5,169.5,339
Tata Safari,XM,Silver,Diesel,Manual,1502543.73,2023-10-31,2023-11-24,Uttar Pradesh,16.4,1.6,0,0,7,168.5,311
Tata Nexon,XZ+,Silver,Diesel,Manual,1300828.44,2024-06-10,2024-07-22,Gujarat,21.1,1.5,0,0,5,184.6,432
Tata Punch,XE,Bronze,CNG,Automatic,630985.37,2023-05-04,2023-05-12,Telangana,18.5,1.4,0,0,5,189.7,325
Tata Nexon,XZ+ Lux,Grey,Diesel,Manual,924238.78,2023-05-17,2023-10-06,Delhi,20.3,1.4,0,0,5,168.9,257
Tata Tiago,XZ+,Orange,Diesel,Manual,638514.8,2023-10-30,2024-02-19,West Bengal,22.9,1.1,0,0,5,186.8,294
Tata Harrier,XZ+,Blue,Electric,Automatic,2252171.23,2023-05-12,2023-07-08,Odisha,15.1,0,36.3,8.7,7,168.3,412
Tata Harrier,XZ+,Grey,Diesel,Automatic,1738666.02,2024-01-30,2024-04-15,Uttar Pradesh,14.7,1.3,0,0,7,188.1,428
Tata Tiago,XZ+,Blue,Petrol,Manual,539166.83,2024-09-01,2024-11-12,Haryana,22.4,2.0,0,0,5,197.7,404
Tata Altroz,XZ,Silver,CNG,Automatic,834900.13,2024-01-04,2024-04-25,Uttar Pradesh,19.6,1.4,0,0,5,174.8,335
Tata Nexon,XE,Copper,Petrol,Manual,778806.34,2023-02-21,2023-08-08,Punjab,17.1,1.7,0,0,5,206.6,426
Tata Altroz,XM,Red,Petrol,Automatic,834198.98,2022-11-28,2022-12-17,Maharashtra,21.5,1.5,0,0,5,182.8,357
Tata Nexon,XM,Red,Diesel,Manual,806591.38,2023-07-19,2024-01-14,Rajasthan,21.0,1.6,0,0,5,165.1,277
Tata Altroz,XE,Grey,Diesel,Automatic,857570.4,2023-03-27,2023-05-14,Karnataka,23.5,1.8,0,0,5,170.3,335
Tata Tiago,XZ+,Orange,Petrol,Manual,589973.55,2023-04-20,2023-10-13,Kerala,20.4,1.8,0,0,5,178.3,321
Tata Altroz,XZ,White,Diesel,Automatic,890527.21,2022-10-17,2022-12-15,Kerala,19.2,1.7,0,0,5,199.2,268
Tata Harrier,XZ+,Blue,Diesel,Manual,1798364.05,2023-06-21,2023-11-02,Bihar,15.7,2.0,0,0,5,168.8,404
Tata Altroz,XZ,Copper,Petrol,Manual,652822.42,2024-05-15,2024-08-22,Karnataka,23.3,1.5,0,0,5,198.2,286
Tata Punch,XM,Red,Electric,Automatic,759502.01,2024-06-05,2024-10-10,Kerala,18.9,0,44.4,6.1,5,169.2,321
Tata Tiago,XZ,Copper,Petrol,Automatic,634840.3,2023-05-12,2023-09-12,Odisha,20.1,1.1,0,0,5,184.9,360
